@RELATION training_set.arff
@ATTRIBUTE mpk1_t0 NUMERIC
@ATTRIBUTE lin12_t0 NUMERIC
@ATTRIBUTE class  {Primary-fate,Secondary-fate,Tertiary-fate}
@data
171.05841276271246,423.7168684686163,Primary-fate
410.2343552111133,127.53451286971085,Primary-fate
308.26533309493755,224.74553239436906,Primary-fate
367.60532963464993,394.3616755677566,Primary-fate
155.66664297420925,14.173738261003155,Primary-fate
437.59073948955046,216.38353395252668,Primary-fate
409.66643133401794,1.0530266755553463,Primary-fate
289.24713374082455,360.7700161703913,Primary-fate
206.929644082772,472.63534777696117,Primary-fate
462.54243389236376,15.294991516776768,Primary-fate
129.6694271775151,270.7062363967483,Primary-fate
476.876681855834,190.60211884410623,Primary-fate
202.30777090963306,211.05828779135865,Primary-fate
131.03549927844983,110.84583313651753,Primary-fate
286.3972855872174,247.90612069092532,Primary-fate
208.5720910978776,115.43327077049214,Primary-fate
203.1367941883217,229.8017328688668,Primary-fate
230.11701354438452,10.744852632954437,Primary-fate
438.2796307517777,278.22716132621673,Primary-fate
364.0718579143293,92.95313294735885,Primary-fate
497.16649662690475,429.9732643976449,Primary-fate
165.93818472620643,166.34759268006454,Primary-fate
394.16407488164197,355.5958848476398,Primary-fate
475.8474229837947,211.0534999807076,Primary-fate
435.4135634442443,335.1527832070355,Primary-fate
235.2800341545087,293.7903030717797,Primary-fate
455.3420203161059,423.0987092141564,Primary-fate
312.00785182024816,294.50112899127583,Primary-fate
133.1198154575098,121.36998677153382,Primary-fate
423.0136140706351,207.15699965038715,Primary-fate
185.74281260003937,274.3993806940765,Primary-fate
387.15548958493997,337.2429152511636,Primary-fate
262.3871477906233,219.48081502228155,Primary-fate
313.2020655349931,389.2213075000729,Primary-fate
317.95659869299516,196.62754748211302,Primary-fate
306.0835377756581,14.787481983453532,Primary-fate
136.52517033548042,351.691044301918,Primary-fate
493.6113325776761,296.5918651900288,Primary-fate
269.5678808236073,85.17459842784064,Primary-fate
310.8506522047236,491.0383187692671,Primary-fate
412.7987931357042,269.8087242248894,Primary-fate
446.91011598980884,116.08806403150729,Primary-fate
315.23323201130205,476.23369413413474,Primary-fate
339.5620269644572,229.56586595533417,Primary-fate
222.32620142774005,273.99815473312447,Primary-fate
483.7041869548862,2.8545647251964623,Primary-fate
417.7889883938481,410.24295596274095,Primary-fate
456.74824071388315,370.25170591659815,Primary-fate
427.47316233154226,259.339141761501,Primary-fate
333.315988615784,213.0453398440751,Primary-fate
141.32685305788135,435.0050775883199,Primary-fate
336.5997468730245,99.91971008857153,Primary-fate
311.79377762296804,242.46255611386707,Primary-fate
255.58018652708316,173.03895950907744,Primary-fate
324.6219423803808,311.74472639875256,Primary-fate
352.73193661743574,229.07340004986222,Primary-fate
130.6304939518601,114.80251563851196,Primary-fate
187.3402783966614,292.23043538922064,Primary-fate
447.18336712426344,399.219470288713,Primary-fate
422.8970738014886,408.2186852803454,Primary-fate
217.01173523317624,420.872416137048,Primary-fate
375.7831396667087,41.61706890194894,Primary-fate
126.34243944391265,7.279987462406156,Primary-fate
407.12297459583533,124.7796128267114,Primary-fate
161.60567837185656,312.4010420762381,Primary-fate
250.88068835666806,34.757689265423664,Primary-fate
180.65769938366205,263.6901995240064,Primary-fate
183.89507956452275,136.45721840934004,Primary-fate
390.4041723304037,227.35081502283194,Primary-fate
242.36067122718384,236.88550708513944,Primary-fate
128.98113950015508,193.27855238073494,Primary-fate
279.94909809944886,94.01965237565646,Primary-fate
161.32944312925707,449.9092501780101,Primary-fate
313.84407275289703,104.54549627588506,Primary-fate
350.1464832129263,408.51983418894343,Primary-fate
127.91088123352918,8.932260413897664,Primary-fate
175.65546135175148,359.4177363808949,Primary-fate
180.88648519928776,352.30281392600125,Primary-fate
377.70680220524,272.3510817894522,Primary-fate
203.8279042486171,487.7972589089417,Primary-fate
423.16812592833736,258.2997584746965,Primary-fate
204.81439649373488,324.2532090496282,Primary-fate
270.0612437461539,287.92298139402834,Primary-fate
242.0734075511476,315.47393063567347,Primary-fate
142.3383441584667,149.30297481150666,Primary-fate
487.8032578573379,437.7671221175796,Primary-fate
236.42691572663347,429.25720317827967,Primary-fate
237.93817839419094,469.64421606764125,Primary-fate
402.660005093506,208.08613138251275,Primary-fate
215.89607886633743,4.240131231834421,Primary-fate
453.91280131936173,18.95826529929029,Primary-fate
431.37736203286295,481.100562590409,Primary-fate
336.7066166931685,85.75854758885932,Primary-fate
449.7568044852975,486.8876180798458,Primary-fate
387.52879408542714,254.43687303894524,Primary-fate
263.6281570505711,173.46544228131083,Primary-fate
198.18946777198778,337.07650712343207,Primary-fate
284.52104601812016,97.0593224925948,Primary-fate
159.68120467977582,332.9787641393413,Primary-fate
232.50761577159759,249.8999611184008,Primary-fate
243.6313488528786,435.8107537117776,Primary-fate
461.8777424612168,9.046491820235868,Primary-fate
196.32414434748858,163.87035254813375,Primary-fate
495.07889281264994,391.35018786468777,Primary-fate
248.85634618335482,106.51489819040688,Primary-fate
376.29292649503003,418.85053507698217,Primary-fate
474.2312393195784,171.9249073954099,Primary-fate
455.3094169372562,343.5550910768287,Primary-fate
304.1095145927477,492.7541149128989,Primary-fate
209.16336525099462,362.73259312063624,Primary-fate
152.178487558264,84.84707089719379,Primary-fate
466.17535773306577,106.48409749571208,Primary-fate
408.46414943224727,300.1044150661248,Primary-fate
439.63023436822493,184.05399970282454,Primary-fate
249.30838930075547,145.60764370556734,Primary-fate
449.61953296302306,301.9912644458556,Primary-fate
482.63683372543215,443.63255235848135,Primary-fate
171.43147141027214,275.58523703460827,Primary-fate
159.62449924555318,19.56889929845529,Primary-fate
147.81349915629244,433.08417868328604,Primary-fate
419.48425051558604,414.2529857345568,Primary-fate
249.5410363643017,307.5930162795183,Primary-fate
417.1233686204468,189.0198144191937,Primary-fate
336.89697972762883,111.8570363743846,Primary-fate
151.0624396939096,133.36182149086818,Primary-fate
458.49188858501606,282.2234166200987,Primary-fate
471.52553680121986,228.88462952062267,Primary-fate
225.32945112092534,393.5073317801644,Primary-fate
434.5518995253773,6.190872243333311,Primary-fate
374.75642282909376,45.841561308258896,Primary-fate
163.73894940261238,442.5300351898305,Primary-fate
135.20894401826257,119.81668243375465,Primary-fate
495.5002294702924,210.50679371513365,Primary-fate
163.91210862506387,83.69171873066588,Primary-fate
211.7397083371804,372.0032082685042,Primary-fate
159.07697547479773,455.38220913966666,Primary-fate
263.74536280680593,485.1320182641053,Primary-fate
465.50463669727026,147.01179247427388,Primary-fate
216.29585169562816,238.50504798613392,Primary-fate
158.04907470117178,326.0250997447086,Primary-fate
135.0556810972077,5.253075759336145,Primary-fate
493.38177808917607,147.7749300244589,Primary-fate
346.6968444116077,224.92226731504888,Primary-fate
239.0467272061926,31.48239502382266,Primary-fate
467.08896652305737,484.9066384190578,Primary-fate
488.52267170865855,55.681155063445956,Primary-fate
201.7734426137174,308.90344000577784,Primary-fate
492.38209663822926,271.45659874235776,Primary-fate
